,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
0,1,Ohio St. 1,B10,34-3,+33.47,125.0,1,91.5,12,63.8,250,+.031,103,+8.82,26,108.9,17,100.0,45,-4.08,266
226,227,UTSA 16,Slnd,20-14,-5.32,101.8,201,107.1,248,66.7,98,+.085,19,-5.71,294,100.3,286,106.1,292,-1.85,206
23,24,George Mason 8,CAA,27-7,+18.30,114.1,29,95.8,45,64.5,217,+.028,108,+2.06,105,105.0,93,103.0,135,+0.66,140
27,28,Villanova 9,BE,21-12,+17.83,114.9,25,97.0,59,65.0,182,-.040,278,+9.07,21,108.3,25,99.3,22,-0.79,181
18,19,West Virginia 5,BE,21-12,+20.11,114.9,23,94.8,35,62.5,298,-.018,227,+12.70,3,111.0,1,98.3,7,+7.10,21
24,25,Clemson 12,ACC,22-12,+18.16,109.6,71,91.5,11,63.9,248,-.087,329,+6.99,45,106.7,53,99.7,33,-2.81,230
6,7,Kentucky 4,SEC,29-9,+25.82,117.8,8,92.0,16,65.0,184,-.044,285,+9.81,18,108.4,23,98.5,10,+4.46,52
78,79,Princeton 13,Ivy,25-7,+9.09,107.2,97,98.1,75,62.6,292,+.091,15,-0.72,166,104.0,136,104.7,219,+0.33,150
37,38,Xavier 6,A10,24-8,+16.02,112.8,37,96.8,58,64.3,229,+.035,89,+4.49,73,105.4,85,100.9,72,+6.02,35
25,26,Marquette 11,BE,22-15,+18.14,115.5,22,97.3,62,66.2,116,-.058,306,+11.06,9,109.4,13,98.4,9,-5.91,308
12,13,Syracuse 3,BE,27-8,+22.49,114.9,24,92.4,17,64.6,212,+.032,99,+9.03,23,108.3,24,99.3,23,-2.31,215
107,108,Indiana St. 14,MVC,20-14,+5.45,102.8,183,97.4,63,65.0,189,+.051,55,+3.40,85,105.8,75,102.4,108,+2.76,79
15,16,Washington 7,P10,24-11,+21.69,117.7,10,96.0,49,69.9,21,-.099,334,+7.21,40,106.9,46,99.7,30,+1.07,122
62,63,Georgia 10,SEC,21-12,+12.24,108.2,86,95.9,47,63.5,261,-.003,193,+5.83,61,106.2,65,100.4,58,-0.69,176
14,15,North Carolina 2,ACC,29-8,+22.18,111.8,49,89.6,5,70.6,15,+.064,33,+11.14,8,109.9,11,98.8,14,+6.01,36
108,109,LIU Brooklyn 15,NEC,27-6,+5.43,109.6,72,104.2,190,73.3,4,+.053,49,-6.02,304,99.7,306,105.8,278,-5.31,291
0,1,Ohio St. 1,B10,34-3,+33.47,125.0,1,91.5,12,63.8,250,+.031,103,+8.82,26,108.9,17,100.0,45,-4.08,266
23,24,George Mason 8,CAA,27-7,+18.30,114.1,29,95.8,45,64.5,217,+.028,108,+2.06,105,105.0,93,103.0,135,+0.66,140
18,19,West Virginia 5,BE,21-12,+20.11,114.9,23,94.8,35,62.5,298,-.018,227,+12.70,3,111.0,1,98.3,7,+7.10,21
6,7,Kentucky 4,SEC,29-9,+25.82,117.8,8,92.0,16,65.0,184,-.044,285,+9.81,18,108.4,23,98.5,10,+4.46,52
25,26,Marquette 11,BE,22-15,+18.14,115.5,22,97.3,62,66.2,116,-.058,306,+11.06,9,109.4,13,98.4,9,-5.91,308
12,13,Syracuse 3,BE,27-8,+22.49,114.9,24,92.4,17,64.6,212,+.032,99,+9.03,23,108.3,24,99.3,23,-2.31,215
15,16,Washington 7,P10,24-11,+21.69,117.7,10,96.0,49,69.9,21,-.099,334,+7.21,40,106.9,46,99.7,30,+1.07,122
14,15,North Carolina 2,ACC,29-8,+22.18,111.8,49,89.6,5,70.6,15,+.064,33,+11.14,8,109.9,11,98.8,14,+6.01,36
0,1,Ohio St. 1,B10,34-3,+33.47,125.0,1,91.5,12,63.8,250,+.031,103,+8.82,26,108.9,17,100.0,45,-4.08,266
6,7,Kentucky 4,SEC,29-9,+25.82,117.8,8,92.0,16,65.0,184,-.044,285,+9.81,18,108.4,23,98.5,10,+4.46,52
