Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Duke 1,3,ACC,29-5,+31.99,120.1,6,88.1,6,72.2,18,+.018,137,+13.25,7,110.4,4,97.2,11,+5.48,38,1,1,1,0,0,0
North Dakota St. 16,199,Sum,18-15,-3.20,106.6,127,109.8,278,64.8,312,+.052,63,-3.07,225,104.5,135,107.6,312,+3.73,77,0,0,0,0,0,0
VCU 8,37,A10,25-7,+15.69,104.3,172,88.6,7,68.2,136,+.004,174,+1.15,117,105.0,115,103.8,142,+3.50,85,0,0,0,0,0,0
UCF 9,46,Amer,23-8,+14.58,110.3,58,95.7,36,64.8,313,+.029,104,+3.61,78,105.2,109,101.6,65,-3.42,267,1,0,0,0,0,0
Mississippi St. 5,21,SEC,23-10,+20.68,117.4,14,96.7,51,67.4,178,-.027,248,+10.46,30,110.0,12,99.6,46,+2.49,99,0,0,0,0,0,0
Liberty 12,63,ASun,28-6,+10.82,110.6,56,99.7,96,61.8,349,+.006,167,-4.61,268,101.3,283,105.9,223,-2.83,249,1,0,0,0,0,0
Virginia Tech 4,11,ACC,24-8,+24.47,118.4,11,94.0,25,63.3,337,+.002,181,+8.61,50,108.1,51,99.5,44,-6.04,326,1,1,0,0,0,0
Saint Louis 13,104,A10,23-12,+6.27,102.6,205,96.3,46,66.1,250,+.045,74,+0.36,133,103.9,166,103.6,127,-1.05,199,0,0,0,0,0,0
Maryland 6,24,B10,22-10,+19.98,113.8,27,93.8,22,65.6,274,+.001,182,+11.08,21,109.5,24,98.4,21,-4.62,298,1,0,0,0,0,0
Belmont 11,54,OVC,26-5,+13.07,114.8,20,101.8,127,71.1,31,+.041,78,-3.23,230,102.7,227,105.9,221,+3.44,87,0,0,0,0,0,0
LSU 3,18,SEC,26-6,+20.97,118.5,10,97.5,62,69.9,66,+.035,93,+9.49,40,108.6,41,99.1,38,+3.09,93,1,1,0,0,0,0
Yale 14,82,Ivy,22-7,+8.59,111.7,44,103.1,149,70.7,44,+.057,48,-1.52,186,102.3,243,103.8,140,-1.89,226,0,0,0,0,0,0
Louisville 7,17,ACC,20-13,+20.97,113.4,29,92.4,17,67.1,194,-.054,301,+13.00,10,110.6,3,97.6,15,+6.05,28,0,0,0,0,0,0
Minnesota 10,47,B10,21-13,+14.46,110.7,54,96.2,44,67.5,176,+.082,24,+12.07,16,109.8,17,97.7,17,-2.79,247,1,0,0,0,0,0
