Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Gonzaga 1,Gonzaga,1,WCC,26-3,1,0,1,32.97,121.8,1,88.8,7,72.5,4,-0.038,268,3.78,99,104.5,111,100.8,94,-2.56,246,0,0,0,0,0,0
Georgia St. 16,Georgia St.,151,SB,18-10,Not Ranked,0,1,1.84,101.5,201,99.7,114,67.1,174,0.062,56,-1.29,177,101.1,244,102.4,130,2.05,114,0,0,0,0,0,0
Boise St. 8,Boise St.,26,MWC,27-7,Not Ranked,0,1,16.41,108.5,76,92.1,17,64.6,307,0.027,118,6.0,74,105.2,91,99.2,47,0.92,140,0,0,0,0,0,0
Memphis 9,Memphis,28,Amer,21-10,12,0,0,16.22,110.4,50,94.1,31,70.3,34,-0.018,217,6.75,60,106.4,64,99.6,56,4.87,42,0,0,0,0,0,0
Connecticut 5,Connecticut,18,BE,23-9,24,0,0,19.33,113.9,21,94.6,35,64.9,291,-0.03,248,7.53,52,106.0,76,98.4,23,-3.46,267,0,0,0,0,0,0
New Mexico St. 12,New Mexico St.,81,WAC,26-6,Not Ranked,0,1,10.1,107.8,87,97.7,73,66.2,223,0.099,17,0.7,133,102.3,190,101.6,113,4.14,60,0,0,0,0,0,0
Arkansas 4,Arkansas,20,SEC,25-8,16,0,0,19.02,111.1,40,92.1,16,70.6,28,0.027,117,7.93,46,106.8,56,98.9,35,-2.79,251,0,0,0,0,0,0
Vermont 13,Vermont,59,AE,28-5,Not Ranked,0,1,13.07,110.8,44,97.7,74,65.0,288,-0.015,209,-7.51,330,99.1,328,106.6,305,2.2,107,0,0,0,0,0,0
Alabama 6,Alabama,25,SEC,19-13,14,0,0,17.36,116.1,14,98.7,94,71.7,12,-0.022,226,12.79,1,109.7,3,96.9,7,10.22,11,0,0,0,0,0,0
Rutgers 11,Rutgers,74,B10,18-13,Not Ranked,1,0,10.86,106.4,107,95.5,43,64.9,289,0.016,142,8.01,44,108.5,13,100.5,81,-10.28,355,0,0,0,0,0,0
Texas Tech 3,Texas Tech,9,B12,25-9,Not Ranked,0,0,24.64,109.7,65,85.1,1,66.5,211,-0.025,233,10.21,18,107.5,37,97.2,11,-7.93,345,0,0,0,0,0,0
Montana St. 14,Montana St.,125,BSky,27-7,Not Ranked,0,1,3.81,104.5,147,100.7,129,67.3,157,0.031,111,-6.2,308,101.9,203,108.1,350,-0.52,180,0,0,0,0,0,0
Michigan St. 7,Michigan St.,40,B10,22-12,Not Ranked,0,0,14.87,111.3,38,96.4,53,67.5,141,0.05,73,10.73,11,109.4,4,98.7,31,4.24,55,0,0,0,0,0,0
Davidson 10,Davidson,41,A10,27-6,Not Ranked,0,0,14.8,116.8,11,102.0,152,64.6,304,-0.004,186,1.43,121,102.6,179,101.2,104,-1.86,226,0,0,0,0,0,0
Duke 2,Duke,12,ACC,28-6,9,0,0,23.71,119.4,7,95.7,44,67.4,150,-0.011,204,6.14,71,107.4,40,101.2,106,-4.39,289,0,0,0,0,0,0
Cal St. Fullerton 15,Cal St. Fullerton,149,BW,21-10,Not Ranked,0,1,2.1,104.7,144,102.6,164,66.0,239,0.038,92,-2.94,219,100.5,274,103.5,176,-3.03,257,0,0,0,0,0,0
Baylor 1,Baylor,5,B12,26-6,8,0,0,26.32,117.9,9,91.6,14,67.2,169,0.019,138,10.71,12,107.4,39,96.7,5,-1.65,215,0,0,0,0,0,0
Norfolk St. 16,Norfolk St.,168,MEAC,24-6,Not Ranked,0,1,0.15,102.4,190,102.3,160,66.9,187,0.095,23,-10.62,357,95.3,358,105.9,280,-4.18,285,0,0,0,0,0,0
North Carolina 8,North Carolina,29,ACC,24-9,19,0,0,16.04,113.1,27,97.0,64,70.1,38,0.079,32,7.26,54,107.8,23,100.6,85,3.76,71,0,0,0,0,0,0
Marquette 9,Marquette,47,BE,19-12,Not Ranked,0,0,14.0,109.8,62,95.8,46,70.7,26,-0.0,175,9.25,25,107.4,38,98.2,20,4.2,57,0,0,0,0,0,0
Saint Mary's 5,Saint Mary's,16,WCC,25-7,Not Ranked,0,0,19.81,109.8,63,90.0,9,63.5,338,0.037,95,6.9,57,107.2,45,100.3,75,3.83,68,0,0,0,0,0,0
Indiana 12,Indiana,36,B10,20-13,Not Ranked,1,0,14.94,107.6,91,92.6,21,67.0,184,-0.044,282,8.26,40,108.5,14,100.2,72,-6.01,322,0,0,0,0,0,0
UCLA 4,UCLA,8,P12,25-7,2,0,0,24.85,116.1,15,91.2,12,65.5,258,-0.028,243,8.5,37,107.5,36,99.0,40,4.49,51,0,0,0,0,0,0
Akron 13,Akron,131,MAC,24-9,Not Ranked,0,1,3.49,106.2,113,102.7,166,62.1,351,0.026,119,-5.24,280,100.8,264,106.0,288,-4.18,286,0,0,0,0,0,0
Texas 6,Texas,15,B12,21-11,5,0,0,20.41,111.8,32,91.4,13,63.1,341,-0.044,279,9.52,21,107.1,47,97.6,13,-7.6,341,0,0,0,0,0,0
